project,STYLE,TOTAL_EXPERIMENTAL,TOTAL_INPUT_VALIDATION_BUGS,TOTAL_CORRECTNESS,TOTAL_SECURITY_REST,TOTAL_BAD_PRACTICE,TOTAL_I18N,CORRECTNESS,SECURITY_REST,TOTAL_PERFORMANCE,MALICIOUS_CODE,BAD_PRACTICE,TOTAL_MALICIOUS_CODE,MT_CORRECTNESS,I18N,PERFORMANCE,TOTAL_STYLE,TOTAL_MT_CORRECTNESS,INPUT_VALIDATION_BUGS,EXPERIMENTAL
org.ow2.weblab.service||contentConsumer-service,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.maven.archiva||archiva-artifact-reports,1,NA,NA,156,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
com.google.sitebricks||sitebricks-stat,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
cocoon||cocoon-portal-fw,2,NA,NA,NA,NA,3,NA,NA,NA,4,2,2,6,1,NA,2,6,3,NA,NA
de.huxhorn.lilith||de.huxhorn.lilith.3rdparty.macify,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,2,NA,NA,NA
org.apache.geronimo.specs||geronimo-jaxr_1.0_spec,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
org.codehaus.service-conduit||test-autowire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.izpack||izpack-maven-plugin,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
org.synyx.hades||org.synyx.hades.sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.tapestry||plastic,24,1,NA,1,NA,29,5,1,NA,27,9,29,9,NA,5,17,24,NA,NA,1
org.apache.struts||struts2-osgi-demo-bundle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.acegisecurity||acegi-security-tiger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.jomc||jomc-tools,NA,NA,NA,NA,NA,40,52,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA
org.codehaus.mojo||jboss-maven-plugin,24,27,NA,20,NA,31,54,7,NA,NA,NA,5,NA,NA,10,NA,89,NA,NA,5
com.redhat.rhevm.api||rhevm-api-mock-jaxrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.servicemix.bundles||org.apache.servicemix.bundles.serp,15,NA,NA,6,NA,36,3,2,NA,6,3,12,9,NA,1,2,45,NA,NA,NA
org.nakedobjects.plugins||headless-embedded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.mortbay.jetty||jetty-gwt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.maven.plugins||maven-clean-plugin,NA,NA,NA,15,NA,NA,NA,10,NA,5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
org.jvnet.hudson.main||hudson-cli,3,4,NA,NA,NA,43,23,NA,NA,16,3,20,6,1,9,8,6,2,NA,2
org.apache.directory.shared||shared-ldap-jndi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.fabric3||fabric3-extension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.cake.cache||cake-cache-api,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
aspectwerkz||aspectwerkz,199,39,NA,118,NA,1311,127,36,NA,184,249,185,1440,116,12,33,1654,399,NA,8
org.apache.ace||org.apache.ace.httplistener,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
net.sourceforge.openutils||openutils-spring-rmibernate,1,NA,NA,NA,NA,4,NA,NA,NA,NA,1,1,5,NA,NA,NA,4,NA,NA,NA
org.milyn.edi.unedifact||d07b-binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
com.mycila.testing||mycila-testing-api,2,10,NA,NA,NA,NA,NA,NA,NA,10,2,NA,10,4,NA,1,20,40,NA,1
org.codehaus.service-conduit||sca4j-binding-ftp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.apache.directory.shared||shared-converter,NA,NA,NA,NA,NA,24,24,NA,NA,12,1,2,12,1,2,1,NA,12,NA,NA
br.com.caelum.stella||caelum-stella-hibernate-validator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.jvnet.hudson.main||hudson-core,130,3400,NA,1694,NA,31346,14884,25,NA,3885,114,301,14161,70,108,36,9972,7358,NA,39
org.apache.geronimo.specs||geronimo-osgi-registry,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,NA,NA,NA
org.apache.geronimo.specs||geronimo-activation_1.1_spec,4,NA,NA,NA,NA,7,21,NA,NA,1,NA,3,NA,NA,5,1,8,NA,NA,NA
