project,version,jarsize,INPUT_VALIDATION_BUGS,SECURITY_REST,MALICIOUS_CODE,STYLE,CORRECTNESS,BAD_PRACTICE,MT_CORRECTNESS,I18N,PERFORMANCE,EXPERIMENTAL
org.ow2.util||audit-report-impl,0,69838,NA,NA,11,5,NA,NA,NA,NA,NA,NA
org.ow2.util||audit-report-impl,0,69838,NA,NA,11,5,NA,NA,NA,NA,NA,NA
org.ow2.util||audit-report-impl,0,67804,NA,NA,11,5,NA,NA,NA,NA,NA,NA
org.ow2.util||audit-report-impl,0,67804,NA,NA,11,5,NA,NA,NA,NA,NA,NA
org.ow2.util||audit-report-impl,0,67804,NA,NA,11,5,NA,NA,NA,NA,NA,NA
org.ow2.util||audit-report-impl,0,67804,NA,NA,11,5,NA,NA,NA,NA,NA,NA
org.zeroturnaround||jrebel-maven-plugin,1,31215,NA,NA,4,NA,3,1,NA,NA,NA,NA
org.springmodules||spring-modules-template,0,240415,NA,NA,5,2,2,1,NA,8,4,NA
org.springmodules||spring-modules-template,0,240351,NA,NA,5,2,2,1,NA,8,4,NA
org.springmodules||spring-modules-template,0,240415,NA,NA,5,2,2,1,NA,8,4,NA
org.springmodules||spring-modules-template,0,240415,NA,NA,5,2,2,1,NA,8,4,NA
org.springmodules||spring-modules-template,0,240351,NA,NA,5,2,2,1,NA,8,4,NA
org.codehaus.sonar.plugins||sonar-plugin-cpd,1,28783,NA,NA,1,NA,NA,NA,NA,NA,1,NA
org.codehaus.sonar.plugins||sonar-plugin-cpd,2,29312,NA,NA,1,NA,NA,NA,NA,NA,1,NA
org.kuali.student.lum||ks-lum-ui,1,1045129,NA,NA,1,9,7,2,NA,NA,23,NA
org.kuali.student.lum||ks-lum-ui,2,1053869,NA,NA,1,9,7,2,NA,NA,23,NA
org.kuali.student.lum||ks-lum-ui,3,1195943,NA,NA,1,9,9,2,NA,NA,24,NA
org.kuali.student.lum||ks-lum-ui,4,1311258,NA,NA,1,9,9,3,NA,NA,25,NA
org.kuali.student.lum||ks-lum-ui,5,1398481,NA,NA,1,8,10,4,NA,NA,25,NA
com.googlecode.gwtquery||gwtquery,1,508595,NA,NA,20,7,9,9,NA,NA,8,NA
com.googlecode.gwtquery||gwtquery,2,508595,NA,NA,20,7,9,9,NA,NA,8,NA
com.googlecode.gwtquery||gwtquery,3,508517,NA,NA,21,7,10,9,NA,NA,8,NA
com.googlecode.gwtquery||gwtquery,4,508297,NA,NA,20,7,9,9,NA,NA,8,NA
org.apache.camel||camel-test,0,85286,NA,NA,NA,4,NA,4,NA,NA,NA,NA
org.apache.camel||camel-test,0,26258,NA,NA,NA,2,NA,2,NA,NA,NA,NA
org.apache.camel||camel-test,1,27065,NA,NA,NA,2,NA,2,NA,NA,NA,NA
org.apache.camel||camel-test,2,67074,NA,NA,NA,4,NA,4,NA,NA,NA,NA
org.apache.camel||camel-test,3,67074,NA,NA,NA,4,NA,4,NA,NA,NA,NA
org.apache.camel||camel-test,4,66969,NA,NA,NA,4,NA,4,NA,NA,NA,NA
org.apache.camel||camel-test,5,71227,NA,NA,NA,4,NA,4,NA,NA,NA,NA
org.apache.camel||camel-test,6,73393,NA,NA,NA,4,NA,4,NA,NA,NA,NA
org.apache.camel||camel-test,7,74203,NA,NA,NA,4,NA,4,NA,NA,NA,NA
org.apache.camel||camel-test,8,74381,NA,NA,NA,4,NA,4,NA,NA,NA,NA
org.apache.camel||camel-test,9,81670,NA,NA,NA,4,NA,4,NA,NA,NA,NA
org.apache.camel||camel-test,10,85286,NA,NA,NA,4,NA,4,NA,NA,NA,NA
org.apache.camel||camel-test,11,85286,NA,NA,NA,4,NA,4,NA,NA,NA,NA
org.apache.camel||camel-test,13,85286,NA,NA,NA,4,NA,4,NA,NA,NA,NA
org.apache.camel||camel-test,16,96915,NA,NA,1,6,2,4,NA,NA,NA,NA
